Town,Service Name,Description
"Kent > Ightham, Sevenoaks, Tonbridge",Cece,"I am a housewife so home pretty much 24/7. I started caring for dogs as company whilst my husband was at work, we live near beautiful parks and woodlands perfect for lovely walks! I have experience with small-large breeds including Bulldogs, Labradors and Retrievers. Please get in touch if you would like more information about …"
"Kent > Ightham, Sevenoaks, Tonbridge",Bow Wow Walkies,"Bow Wow Walkies is operated by Chris Linford and offers a wide range of pet services in West Kent area. These include: dog walking, pet taxi, pet sitting, holiday animal feeding and puppy play, plus specialist services for elderly dogs or secluded walks for dogs in season. I am based in Tonbridge and I offer …"
"Kent > Ightham, Sevenoaks, Tonbridge",Dog On Vacation,"Going on holiday? A weekend away? Family party? Don’t like the idea of putting your dog in kennels? Then we have the answer. We will dog sit your dog in our own home, giving your dog the comfort and companionship they enjoy in their own house. Your dog will live with us as part of …"
"Kent > Ightham, Sevenoaks, Tonbridge",Pets Helper,"Dog walking, pets sitting, grooming and dog training. We care for all types and sizes of pets. I am fully qualified in animal care, fully insured with public liability, criminal background checked and have references. I have over 13 years of experience and have worked in animal rescue and animal welfare. I care for all …"
"Kent > Bromley, Farnborough, Orpington",Walkz with Ted,"Hello, I have a 10 month old French Bulldog called Ted. He has a very funny and friendly personality and loves nothing more than spending time with humans and dogs! At the weekend we spend our time playing and on long walks. Ted would love friends to spend his time with. Dog walking, doggy day …"
"Kent > Bromley, Farnborough, Orpington",02082490169,"It’s all about teaching and encouraging good behaviour in and outdoors…..with fun, exercise, games and clear training. Qualifications: Level 5: Canine Behaviour Management & Psychology Studying towards BSc Canine Behaviour Management (final year) on a pathway to become a clinincal behaviourist. Group walker for up to six dogs, if temperament tests allows them to fit …"
"Kent > Bromley, Farnborough, Orpington",Boni Dogs,Dog walking and dog care services in Orpington. With over five years experience in dog walking and dog care services you can be assured your pooch will be in safe hands and extremely happy with us.
"Kent > Bromley, Farnborough, Orpington",Country Dog Walks,Family run business. Many years experience with dogs – We are fully insured. We supply Doggy Seat belts for travel. Safety first. We offer One 2 one walks Group walks Home visits Veterinary Appointments Doggy Day Care
"Kent > Bromley, Farnborough, Orpington",Mad about Dogs,"Hi, I offer dog walking and a walking doggy daycare service."
"Kent > Bromley, Farnborough, Orpington",Social Pet Society,"I’m Emily. Ive always loved and looked after animals. I grew up in a household of cats and was always looking after my neighbour’s dogs, cats, rabbits and hamsters. My husband and I currently have a gorgeous rescue dog called Baloo, and a beautiful tortoiseshell called Elsa (the Disney connection is completely accidental!). I created Social Pet Society …"
"Kent > Bromley, Farnborough, Orpington",Padifoot Pet Care,5 Star Rating Licensed Home Boarder Qualified with 2 degrees Dog Trainer Professional Insured with CRB check on all staff for Dog Walking and Pet Sitting With 20 years experience working and caring for animals Real reviews on Facebook We offer the best care for your pets as they are your family as much as …
"Kent > Bromley, Farnborough, Orpington",Dog Walking and Pet Care Kent,"There is nobody more trustworthy or experienced in this business than me. I am lucky enough to have spent over 15 years successfully working with animals of all shapes, sizes and temperaments. I have worked as a Centre Manager for some leading animal charities and as a Veterinary Nurse. So I really have seen it …"
"Kent > Bromley, Farnborough, Orpington",Dog walking services I’m a big dog lovers,I’m a friendly guy called jamed I am from Beckenham. I am a big dog lover I love dogs I am looking to help people that are busy walk there dogs and housesit I am very honest and trust worthy.
"Kent > Bromley, Farnborough, Orpington",Padifoot Pet Care,"Hello 🙂 I am a highly qualified dog trainer with BSc honours award in Animal Behaviour. Padifoot Pet Care has been running for over 10 years and I have had experience with animals for a further 10 years previous doing charity work, voluntary work and been a kennel maid. Had all variety of pets since …"
"Kent > Bromley, Farnborough, Orpington",All Breeds On Leads,Logo – Please can you look at my website allbreedsonleads.co.uk and add the dog logo for me. Thanks Hello My name is Lorraine and I am based in South East London. My love and passion is looking after animals particularly dogs and cats. I have grown up with many animals and I completely understand the …
"Kent > Bromley, Farnborough, Orpington",Stay Play and Walkies,"Welcome to Stay Play and Walkies – a pet boarding/sitting/walking service based near Chislehurst station run by myself, Clare. The younger members of my family often help out too especially when there are kittens / puppies involved Board your small friends in the well equipped summer house, where they will be fed twice a day …"
"Kent > Bromley, Farnborough, Orpington",Sam’s walkies,My name is Sam and I offer a friendly professional dog walking service in the Chislehurst and surrounding areas. I have worked with many animals over the years great and small. I love them all especially dogs. Please visit my website If you are interested in having your dog walked either on its own or …
"Kent > Bromley, Farnborough, Orpington",PHOENIX DOG WALKERS,"Hi Here at phoenix dog walkers we go the extra mile and make sure your dog is well excerised, no matter what the weather, We are a small family run business who adore pets, we understand all types of dogs, * FULLY INSURDED * TRAINED IN FIRST AID * 7 DAY A WEEK SERVICE * …"
"Kent > Bromley, Farnborough, Orpington",Little Barks Dog Walking,"We offer a range of dog related services ranging from dog walking to overnight dog boarding and everything in between. ?We have had dogs in our family for the last 20 years and currently live with one dog of our own, Murphy. Based in Bromley we are spoilt for great parks meaning we can give …"
"Kent > Bromley, Farnborough, Orpington",DogBuddies,"We have a lifetime experience of living with and caring for Dogs, We are a dedicated team of carers, all of whom live within our client areas and have been trained to a rigorous standard to ensure that all clients receive the highest level of service. walks can be on a one-to-one basis if you …"
"Kent > Bromley, Farnborough, Orpington",Padifoot Pet Care,"Educated with 2 Degrees in Animal Behaviour and with a wide range of experience of caring for different animals and types of pets. I offer a reliable and trustworthy service for pet owners and their beloved ones in a caring manner. I am a qualified, professional, insured pet carer covering many areas of Kent. This …"
"Kent > Bromley, Chislehurst, Hayes, Keston",Boyd’s Dog Walking,"If you’re looking for someone to help walk your dogs regularly or just the one off I can help. I am based in Bromley so if you need your dog walking in Bromley or the surrounding area, (including Keston, Chislehurst and Hayes) get in contact with me and we can discuss my services. I love …"
"Kent > Bromley, Chislehurst, Hayes, Keston",02082490169,"It’s all about teaching and encouraging good behaviour in and outdoors…..with fun, exercise, games and clear training. Qualifications: Level 5: Canine Behaviour Management & Psychology Studying towards BSc Canine Behaviour Management (final year) on a pathway to become a clinincal behaviourist. Group walker for up to six dogs, if temperament tests allows them to fit …"
"Kent > Bromley, Chislehurst, Hayes, Keston",Polly’s Pet Care Services,"Polly’s Pet Care Services is a dog walking and pet sitting service in Chislehurst, South East London. I provide loving care for your beloved pets whilst you are at work, out for dinner or entertaining friends. Whether you are looking for daily walking of one dog or several dogs, an occasional visit to their kennels …"
"Kent > Bromley, Chislehurst, Hayes, Keston",Pollys Pet Care Services,We are one of the best dog walkers in Chislehurst. Our reputation has gone wild just recently. Our extraordinary services have earned us respect and a good reputation among dog owners for the dog walking service in Sidcup. We have a strong and loyal base of clients who rely on us heavily and have faith …
"Kent > Bromley, Chislehurst, Hayes, Keston",Polly’s Pet Care Services,"We are one of the best dog walkers in Sidcup, Kent. Our reputation has gone wild just recently. Our extraordinary services have earned us respect and a good reputation among dog owners for the dog walking service in Sidcup. We have a strong and loyal base of clients who rely on us heavily and have …"
"Kent > Bromley, Chislehurst, Hayes, Keston",Orthrus Canine,"We are a family run dog walking and training business that pride ourselves on giving you and your dog a personal service. After serving 6 years in the British Army, working with dog units overseas, I decided to leave and run my own business with my wife. Unlike other dog walking companies, we DO NOT …"
"Kent > Bromley, Chislehurst, Hayes, Keston",Boni Dogs,Dog walking and dog care services in Orpington. With over five years experience in dog walking and dog care services you can be assured your pooch will be in safe hands and extremely happy with us.
"Kent > Bromley, Chislehurst, Hayes, Keston",Happy Souls Dog Walking and Pet Sitting,"Happy Souls is a caring, reliable and flexible dog walking and pet sitting service based in Sidcup (please note that unfortunately this doesnt include dog boarding). Insured and DBS cleared. I have an absolute passion for animals and am experienced in both dog walking and pet sitting and can provide references for both. I have …"
"Kent > Bromley, Chislehurst, Hayes, Keston",Country Dog Walks,Family run business. Many years experience with dogs – We are fully insured. We supply Doggy Seat belts for travel. Safety first. We offer One 2 one walks Group walks Home visits Veterinary Appointments Doggy Day Care
"Kent > Bromley, Chislehurst, Hayes, Keston",Padifoot Pet Care,5 Star Rating Licensed Home Boarder Qualified with 2 degrees Dog Trainer Professional Insured with CRB check on all staff for Dog Walking and Pet Sitting With 20 years experience working and caring for animals Real reviews on Facebook We offer the best care for your pets as they are your family as much as …
"Kent > Bromley, Chislehurst, Hayes, Keston",Furry Steps,"Pet care service here to suit yours & your pets needs. Whether you’re at work; going on holiday, or just need an extra helping hand, we are here to help. Offering services from walks, daycare, boarding, socialisation to pet visits. Fully insured & CRB checked. Trustworthy – with lifelong experience."
"Kent > Bromley, Chislehurst, Hayes, Keston",All Breeds On Leads,Logo – Please can you look at my website allbreedsonleads.co.uk and add the dog logo for me. Thanks Hello My name is Lorraine and I am based in South East London. My love and passion is looking after animals particularly dogs and cats. I have grown up with many animals and I completely understand the …
"Kent > Bromley, Chislehurst, Hayes, Keston",Stay Play and Walkies,"Welcome to Stay Play and Walkies – a pet boarding/sitting/walking service based near Chislehurst station run by myself, Clare. The younger members of my family often help out too especially when there are kittens / puppies involved Board your small friends in the well equipped summer house, where they will be fed twice a day …"
"Kent > Bromley, Chislehurst, Hayes, Keston",Sam’s walkies,My name is Sam and I offer a friendly professional dog walking service in the Chislehurst and surrounding areas. I have worked with many animals over the years great and small. I love them all especially dogs. Please visit my website If you are interested in having your dog walked either on its own or …
"Kent > Bromley, Chislehurst, Hayes, Keston",Muddy Paws,"Friendly and reliable dog walking service located in Sidcup and surrounding areas (5 mile radius). Various walk times available at a competitive rates. Group walks and individual walks, doggy day care and home boarding.Includes pick up and drop offs. Fully insured and client references are available. Tel: 07903236109"
"Kent > Bromley, Chislehurst, Hayes, Keston",good dog,"Hi, we are Andrea and Michael Rabin Andrea has been a professional dog trainer since 2006 having trained with ADTB, and we have been boarding dogs in our home since 2007. Together with husband Michael we are now offering a dog walking service. We are based in Sidcup and walk mainly over Foots Cray Meadows. …"
"Kent > Bromley, Chislehurst, Hayes, Keston",Ready Pet Go Ltd,"Ready, Pet, Go! are the UK’s trusted pet care specialists, providing dog walking, pet sitting, pet taxiing and home visit services to South-East London and Kent. We have over 30 years of pet care experience and over 9 years of veterinary nursing practice, so you can be sure your four-legged companion will be in best …"
"Kent > Bromley, Chislehurst, Hayes, Keston",Dogknows Bromley,"I am a professional, experienced and fun dog walker! At dogknows we want to help your dog get the best from life. We create positive relationships between dogs and their owners by providing dog care and training services for dogs of all ages. My business includes solo and small group dog walks as well as …"
"Kent > Bromley, Chislehurst, Hayes, Keston",DogBuddies,"We have a lifetime experience of living with and caring for Dogs, We are a dedicated team of carers, all of whom live within our client areas and have been trained to a rigorous standard to ensure that all clients receive the highest level of service. walks can be on a one-to-one basis if you …"
"Kent > Bromley, Chislehurst, Hayes, Keston",Padifoot Pet Care,"Educated with 2 Degrees in Animal Behaviour and with a wide range of experience of caring for different animals and types of pets. I offer a reliable and trustworthy service for pet owners and their beloved ones in a caring manner. I am a qualified, professional, insured pet carer covering many areas of Kent. This …"
"Greater London > Bexley, Mottingham, New Eltham, Sidcup",Chico’s Dogs,"Hi, I’m Francisco! I really love spending time with dogs and have some experience in taking care of them. I have had more than 10 dogs in my lifetime (the ones in my profile are my most recent babies, Caju and Minu) I haven’t got any kids around so no need to worry if your …"
"Greater London > Bexley, Mottingham, New Eltham, Sidcup",Muddy Paws Dog Services,"Hey I’m Grace, Thank you for visiting my profile! I am the co owner of Muddy Paws. I am doing this with my auntie so we are really looking forward to spending lots of time with your dogs, having fun, playing ball and of course tiring them out! We are fully insured and pet first …"
"Greater London > Bexley, Mottingham, New Eltham, Sidcup",Orthrus Canine,"We are a family run dog walking and training business that pride ourselves on giving you and your dog a personal service. After serving 6 years in the British Army, working with dog units overseas, I decided to leave and run my own business with my wife. Unlike other dog walking companies, we DO NOT …"
"Greater London > Bexley, Mottingham, New Eltham, Sidcup",Happy Souls Dog Walking and Pet Sitting,"Happy Souls is a caring, reliable and flexible dog walking and pet sitting service based in Sidcup (please note that unfortunately this doesnt include dog boarding). Insured and DBS cleared. I have an absolute passion for animals and am experienced in both dog walking and pet sitting and can provide references for both. I have …"
"Greater London > Bexley, Mottingham, New Eltham, Sidcup",Animal Companions,"I adore all animals, dogs especially. From tiny to the extra large, whatever the breed I love them all. Your dog with have the best time socialising and playing with lots of other dogs or just chilling if that’s what they prefer. From walks to daycare to home boarding. I have a fantastic reputation and …"
"Greater London > Bexley, Mottingham, New Eltham, Sidcup",Padifoot Pet Care,5 Star Rating Licensed Home Boarder Qualified with 2 degrees Dog Trainer Professional Insured with CRB check on all staff for Dog Walking and Pet Sitting With 20 years experience working and caring for animals Real reviews on Facebook We offer the best care for your pets as they are your family as much as …
"Greater London > Bexley, Mottingham, New Eltham, Sidcup",Padifoot Pet Care,"Hello 🙂 I am a highly qualified dog trainer with BSc honours award in Animal Behaviour. Padifoot Pet Care has been running for over 10 years and I have had experience with animals for a further 10 years previous doing charity work, voluntary work and been a kennel maid. Had all variety of pets since …"
"Greater London > Bexley, Mottingham, New Eltham, Sidcup",Four Legged Friends Pet Care,"Dog walking and pet care services Group walks, private walks, daycare, house sitting House visits – play, feeding, cleaning 5* reviews Association of Professional Dog Walkers DBS checked Professional liability insurance Fully fitted & secure caged van Canine first aid trained"
"Greater London > Bexley, Mottingham, New Eltham, Sidcup",Maggie Dog Walking,"I am a professional and caring registered dog walker and pet sitter. I am Fully CRB checked, Fully insured and registered with the National Association of Registered Pet Sitters and Dog Walkers. I hold a qualification in pet care and canine first aid. I am currently studying canine behaviour and training. I aim to put …"
"Greater London > Bexley, Mottingham, New Eltham, Sidcup",Maggie’s mutts and moggies,"Hello, my name is Maggie and I love animals. I always owned dogs and for the last 10 years I always had either guinea pigs or hamster or geckos and snakes. I provide service for all your animals and I understand how precious they are to you. I have a 4 year old French bullldog …"
"Greater London > Bexley, Mottingham, New Eltham, Sidcup",All Breeds On Leads,Logo – Please can you look at my website allbreedsonleads.co.uk and add the dog logo for me. Thanks Hello My name is Lorraine and I am based in South East London. My love and passion is looking after animals particularly dogs and cats. I have grown up with many animals and I completely understand the …
"Greater London > Bexley, Mottingham, New Eltham, Sidcup",Stay Play and Walkies,"Welcome to Stay Play and Walkies – a pet boarding/sitting/walking service based near Chislehurst station run by myself, Clare. The younger members of my family often help out too especially when there are kittens / puppies involved Board your small friends in the well equipped summer house, where they will be fed twice a day …"
"Greater London > Bexley, Mottingham, New Eltham, Sidcup",PHOENIX DOG WALKERS,"Hi Here at phoenix dog walkers we go the extra mile and make sure your dog is well excerised, no matter what the weather, We are a small family run business who adore pets, we understand all types of dogs, * FULLY INSURDED * TRAINED IN FIRST AID * 7 DAY A WEEK SERVICE * …"
"Greater London > Bexley, Mottingham, New Eltham, Sidcup",HoundaAbout,HoundsAbout is pleased to announce we are now accepting new dogs for walking. Puppy Visiting also available. Please visit www.HoundsAbout.co.uk for more information. ESTABLISHED 2011 Do you work long hours? ?Are you busy with Family commitments? ??Let me be of service and help take care of your dog. I am not a commercialised dog walking …
"Greater London > Bexley, Mottingham, New Eltham, Sidcup",Muddy Paws,"Friendly and reliable dog walking service located in Sidcup and surrounding areas (5 mile radius). Various walk times available at a competitive rates. Group walks and individual walks, doggy day care and home boarding.Includes pick up and drop offs. Fully insured and client references are available. Tel: 07903236109"
"Greater London > Bexley, Mottingham, New Eltham, Sidcup",Paddy’s Doggie Day Care,"I am a married, ex-serviceman with a well established dog walking business on the SE london/Kent border. I am NARPs UK registered and have successfully completed the PSDW online petsitting and dog walking course which is recognised by LANTRA. I have over 30 years of experience of caring for dogs and other pets (Chickens, Rabbits, …"
"Greater London > Bexley, Mottingham, New Eltham, Sidcup",good dog,"Hi, we are Andrea and Michael Rabin Andrea has been a professional dog trainer since 2006 having trained with ADTB, and we have been boarding dogs in our home since 2007. Together with husband Michael we are now offering a dog walking service. We are based in Sidcup and walk mainly over Foots Cray Meadows. …"
"Greater London > Bexley, Mottingham, New Eltham, Sidcup",Paws 2 The Park,"Paws 2 the park offer very competitive, experienced and professional Pet Services in South East London and surrounding Kent Areas. I have over 25 years experience with Dogs, have relevant insurance, pet first aid trained and also dog psychology. We offer pet Sitting, Doggy day care, dog walking, pet taxi and dog Birthday Cakes! Our …"
"Greater London > Bexley, Mottingham, New Eltham, Sidcup",Padifoot Pet Care,"Educated with 2 Degrees in Animal Behaviour and with a wide range of experience of caring for different animals and types of pets. I offer a reliable and trustworthy service for pet owners and their beloved ones in a caring manner. I am a qualified, professional, insured pet carer covering many areas of Kent. This …"
Kent > Dartford,Laura’s doggy walks,"Hi, I’m Laura and I adore dogs. I have a cavapoochon Poppy who is 2 and I’ve had dogs all my life. I love walking and spending time with our four-legged friends and I look forward to caring and loving yours whilst taking your beloved doggy on a walk."
Kent > Dartford,Kiwidogwalker,"I am a professional/reliable dog walker, offering solo dog walking, daycare & boarding. I cover clients requirements hassle free. I have a passion for the welfare of animals, and work in all weather conditions. I am fully insured with dog-walkers insurance, licensed, Dbs checked, A member of Professional Dog walking Association. I have a regular …"
Kent > Dartford,Woodland Dog Walking,"At Woodland Dog Walking we are a caring and reliable husband and wife team based in North-west Kent. We offer fun stimulating woodland trails. 60 and 30 minute group walks and solo walks are available as well as Dog/Puppy visits, Cat visits and Doggy Day Trippers (a day trip out on Sundays running from May …"
Kent > Dartford,Sophies Dogs,"Professional Dog Walker for over 4 years now. Qualified in Animal Care & Canine Behaviour. Certified k9 First Aider. Dog mum to Milo the French Bulldog. Fully insured. Fun, safe and sociable group walks. Under my watchful eyes, in secured parks. Can help with basic training & build great social skills for dogs."
Kent > Dartford,Dartford Dogs Walking Services,"I can’t remember a time when I haven’t had a dog in my life, from Kirsty the Golden Lab when I was 6 through to Diesel & Zapp my present crazy Springers, Ive always been my happiest when around dogs. Having worked in a high pressure industry as a Chef for 35 years, the wet …"
Kent > Dartford,Pug Hotel,"The Pug Hotel offers home boarding for Pugs and French Bulldogs whilst owners are away on holiday. Unfortunately pugs do not thrive well in a traditional kennel environment. At the Pug Hotel, your dog will be treated as one of the family and will be given a safe, secure and loving environment just as they …"
Kent > Dartford,Padifoot Pet Care,5 Star Rating Licensed Home Boarder Qualified with 2 degrees Dog Trainer Professional Insured with CRB check on all staff for Dog Walking and Pet Sitting With 20 years experience working and caring for animals Real reviews on Facebook We offer the best care for your pets as they are your family as much as …
Kent > Dartford,Snazzy Pizzazzy Petcare Services,Hi my name is Jo My services are Dog walks 30 mins or 1 hour Pet pop ins Pet sitting House pop ins
Kent > Dartford,Dog Walking Kent,"Friendly dog walker available for dog walking, animal home visits, feeding and much more in West Kent. Please get in touch for availability. Fully Insured, DBS Checked. https://dogwalkingkent.co.uk/wp-content/uploads/2018/07/dogwalkingkent_logo.png"
Kent > Dartford,Dog Walking by Ben,"Offering Bespoke dog walking services in the Dartford & Crayford areas. Offering more than seven years of one to one loving care and walking a variety of different breeds and temperaments. Individual attention for your canine friends from a trusted, caring walker. for more information check my website.."
Kent > Dartford,The Dog Hour Ltd,"?HOW DO YOU DECIDE WHO TO LOOK AFTER YOUR DOG? Our dogs are like our children, and handing them over to a complete stranger is a scary prospect. At The Dog Hour I treat all dogs as if they were my own. Their safety and happiness is paramount and something I never ever compromise on. …"
Kent > Dartford,Padifoot Pet Care,"Hello 🙂 I am a highly qualified dog trainer with BSc honours award in Animal Behaviour. Padifoot Pet Care has been running for over 10 years and I have had experience with animals for a further 10 years previous doing charity work, voluntary work and been a kennel maid. Had all variety of pets since …"
Kent > Dartford,Daisy’s Pet Care,"A family run business providing dog walking and pet care services in crayford and surrounding areas, includes: – group dog walks – solo dog walks – house visits – pet sitting – holiday care"
Kent > Dartford,Four Legged Friends Pet Care,"Dog walking and pet care services Group walks, private walks, daycare, house sitting House visits – play, feeding, cleaning 5* reviews Association of Professional Dog Walkers DBS checked Professional liability insurance Fully fitted & secure caged van Canine first aid trained"
Kent > Dartford,MICHELLES DOG WALKING,Hi I am a fully insured and CRB CLEAR DOG WALKER I COVER THE DARTFORD AREA I CURRENTLY HAVE SPACES FOR GROUP WALKS WITH NO MORE THAN 5 DOGS IN THE GROUP WITH ONE BEING MY OWN DAY CARE ONLY 2 DOGS PER DAY MY PRICES START FROM £10 PER DOG FOR A HOURS WALK …
Kent > Dartford,Michelle’s DOG WALKING,Group walks Solo walks Home visits for pups or elderly dogs Day care Fully insured CRB clear References can be supplied on request Please call for any information 07916826038
Kent > Dartford,Michelle’s walks,Local dog walker Group walks Solo walks Puppy visits Day care Fully insured References on request Please call for any information 07916826038
Kent > Dartford,Michelle’s walks,DOG WALKER HOME VISITS DAY CARE GROUP OR SINGLE DOG WALKS FULLY INSURED CONTACT MICHELLE 07916826038
Kent > Dartford,michelle’s walks,LOCAL DOG WALKER GROUP WALKS SOLO WALKS DAY CARE ONE OFF WALKS FOR THOSE DAYS OUT OR UNEXPECTED APPOINTMENTS PRICES START FROM £10 A HOUR FOR A GROUP WALK FOR ONE HOUR THIS INCLUDES PICK UP AND DROP OFF 07916826038
Kent > Dartford,Walk This Way – Dog Walking and Sitting Service,"We are a loving, friendly and reliable service covering Dartford and surrounding areas. Fully insured with references at request. Hi my name is Rikki, i am a 23 year old woman and love dogs! I have  just over 2 years professional experience in dog walking and dog sitting, however, have been caring for dogs of friends and family since …"
Kent > Dartford,Dog Walking by Ben,"A Experienced and Professional Dog Walking Service in your local area offering a variety of options, I am fully insured and am canine first aid certified. All walks are on a 1-1 basis to ensure your four legged friends are well cared for. I cover the Dartford and Crayford area’s and offer competitive prices."
Kent > Dartford,Groom and Zoom,Groom and Zoom are dedicated to all things dog. We offer individual walks or group walks (no more than 4 dogs at any one time) We have a doggy day care centre in our garden where your dog can relax or play in the garden. These are not kennels but a home environment. We offer …
Kent > Dartford,Walking Paw Prints,"I have over 36 years of knowledge and experience of dog handling and caring, I do not walk dogs in large groups, 3-4 dogs maximum, I like to walk in various places in the local area so that the dogs in my care have variety and different interesting places to explore. I also do solo …"
Kent > Dartford,Leigh’s Pet Care,"With over 11 years experience and a lifetime of looking after my own pet cats, dogs, horses, rabbits, chickens, tortoise, pond and tropical fish, I can guarantee a professional caring service. My pet sitting service is tailored to meet the individual needs of each and every pet in my care, if required I can administer …"
Kent > Dartford,PHOENIX DOG WALKERS,"Hi Here at phoenix dog walkers we go the extra mile and make sure your dog is well excerised, no matter what the weather, We are a small family run business who adore pets, we understand all types of dogs, * FULLY INSURDED * TRAINED IN FIRST AID * 7 DAY A WEEK SERVICE * …"
Kent > Dartford,Walkies please,"Hello my name is Julia I am an experienced dog owner / dog walker have always had a dog in my life , dogs are my life hence why I love nothing more than being with dogs 24/7. I currently walk 3 dogs but have spaces left to walk more as this is only part …"
Kent > Dartford,HoundaAbout,HoundsAbout is pleased to announce we are now accepting new dogs for walking. Puppy Visiting also available. Please visit www.HoundsAbout.co.uk for more information. ESTABLISHED 2011 Do you work long hours? ?Are you busy with Family commitments? ??Let me be of service and help take care of your dog. I am not a commercialised dog walking …
Kent > Dartford,Dinky dogs,My name is Michelle I’m a proud dog owner to Talulah a British bull dog and a miniture yourkshire terrier elvis . I have recently started dog walking in areas listed to give working dog owners piece of mind . I am crb checked lover of all animals if you need a dog walker please …
Kent > Dartford,Liz,"About me I have a dog myself a black Labrador called Bouncer I am 21 years old I live in Swanley, Kent my hobbies include taking my family dog out also enjoy a good bit of girly shopping, going to the cinema hanging out with mates and going to restaurants for meals."
Kent > Dartford,Canine Caring,"Hi, I offer a Friendly and reliable dog walking service, day sitting or pop in feeding service plus home dog boarding. My house has a good size garden and a local park 2 minutes away, also some woods located 5 minutes away. All pets in my care I treat as if they are my own."
Kent > Dartford,Quality Pet Care,"We are a family run business based in Higham, North Kent and we mainly cover the Gravesham and Medway areas. We have over 6 decades of experience with animal ownership, caring and training. We offer many services including; dog walking, pet day care, home boarding, house sitting pet visits and pet taxi. We are fully …"
"Sussex > Crowborough, Lewes, Tunbridge Wells, Uckfield",East Sussex Dog Walker Ltd.,"Providing personalised pet adventures since 2019. Our team of walkers and sitters have been carefully selected, DBS checked and are fully insured to give your pets the attention, care and fun they deserve. Solo walks for your pet from your front door. No travelling, no cages, no strange dogs, no stress. Just an exclusive experience …"
"Sussex > Crowborough, Lewes, Tunbridge Wells, Uckfield",Bramble&Bark,"Bramble & Bark Pet sits Dog walks & more Pet services based in Southborough, Tunbridge wells & surrounding areas DBS checked – Fully insured – Pet first aid certified Get to Know Me – Naomi A new start 2022 I have loved animals all my life (generic start for a pet service provider, apologies). I …"
"Sussex > Crowborough, Lewes, Tunbridge Wells, Uckfield",Tail & Snoot,"Hi! My name’s Ellie and I run Tail & Snoot. I’m insured, and provide dog walking, pet sitting, and pop-ins!"
"Sussex > Crowborough, Lewes, Tunbridge Wells, Uckfield",Muddy Cuddles Pet Services,"Hi, I’m Sam, After 20 + years working in an office, and after being furloughed for 18 months with plenty of time to think, I decided that this year I would do something I always wanted to do! Muddy Cuddles Pet Services offers: Dog walking, Cat/poultry sitting, Small animal boarding, vet taxi and more Fully …"
"Sussex > Crowborough, Lewes, Tunbridge Wells, Uckfield",Paw Buddies Dog Walking,"Both myself and my partner Suzanne, are dedicated to our passion and adoration for animal care. We pride ourselves on our patience, kindness and competence. We have owned dogs all our lives and now we have made our love of dogs our profession. I have a qualification in pet first aid and we are both …"
"Sussex > Crowborough, Lewes, Tunbridge Wells, Uckfield",KJ’s Mutts & Moggies,KJ’s Mutts & Moggies. Professional dog walking and pet care services. Running since August 2017.
"Sussex > Crowborough, Lewes, Tunbridge Wells, Uckfield",Utterly Pawsome Dog Walking,Friendly family run business. DBS checked. Fully Insured. Professionally Trained. Canine First Aid Trained. Offer very flexible times to accommodate your requirements. Pick up and drop off to your home. Free no obligation meet to assess if our services meet your needs.
"Sussex > Crowborough, Lewes, Tunbridge Wells, Uckfield",Kurious Tails Dog Walking & Pet Services,A unique tailored Dog Walking & Pet Service covering Tunbridge Wells and surrounding areas. Dog walking service offered in and around Tunbridge Wells Parks & Commons and can also arrange walks through 10 acres of private woodland and miles of beautiful public footpaths through fields and meadows allowing each dog to be walked in a …
"Sussex > Crowborough, Lewes, Tunbridge Wells, Uckfield",Animal Kingdom,"Animal Kingdom offers a wide range of services from training and behaviour to dog day care and in home boarding and walking. Based on a 100acre farm we cater to ever dogs needs, with a background of working in vets and qualifications in animal care and behaviour you can ensure your dogs are in the …"
"Sussex > Crowborough, Lewes, Tunbridge Wells, Uckfield",Paws4Fun(tm),"I am a professional dog walker with over 12 years experience. I am reliable and flexible and treat all the dogs I walk with care, always taking into consideration their individual needs. I have full business insurance and can provide references on request. Please look at my website for testimonials from happy clients and further …"
"Sussex > Crowborough, Lewes, Tunbridge Wells, Uckfield",Sled Dog Boarding & Walking Services,"Sled Dog Boarding & Walking Services provide more than just pet care – we care about your dog just as we care about our own. Not only are we animal lovers, but we also have the experience to provide the highest quality services to our customers. Today’s lifestyle can be busy and complicated so we …"
"Sussex > Crowborough, Lewes, Tunbridge Wells, Uckfield",Animal Kingdom,"Fully Insured and qualified in canine training and behaviour, as well as animal management. Animal Kingdom offers a huge range of services with outstanding care given at all times. Based in the heart of the Kent countryside on a large farm we have plenty of space for all your dogs."
"Sussex > Crowborough, Lewes, Tunbridge Wells, Uckfield",Dog Walking and Pet Care Kent,"There is nobody more trustworthy or experienced in this business than me. I am lucky enough to have spent over 15 years successfully working with animals of all shapes, sizes and temperaments. I have worked as a Centre Manager for some leading animal charities and as a Veterinary Nurse. So I really have seen it …"
"Sussex > Crowborough, Lewes, Tunbridge Wells, Uckfield",Pawsforthought,"Based in Tunbridge Wells, Pawsforthought or “Paws” (for short) has been an established pet services operation for a number of years, my name is Tracey Holmes and as a qualified animal behaviourist, specialising in dog and horse behavioural training, If you are looking for dog behavioural training or dog walking for your pet in the …"
"Sussex > Crowborough, Lewes, Tunbridge Wells, Uckfield",Showpaws,We have been running for nearly five years. The dogs we look after are beautiful and welll behaved. Ideally looking for someone to help walk the dogs and sometimes sit. This is a family run business from our own house.
